strain	virus	country	region	year	date	Collection.Date	accession	GenomeName	Species	Strain	IsolationSource	IsolationCountry	Collection.Year	CollectionDate	GeographicLocation	HostCommonName	host	
OK239670_4637_WNV_HUN2018	Orthoflavivirus nilense	Hungary	Europe	2018	2018-01-01	2018	OK239670	West Nile virus strain 4637_WNV_HUN2018	Orthoflavivirus nilense	4637_WNV_HUN2018	cell supernatant	Hungary	2018	2018	Hungary: Hajduszoboszlo			
OP179287_HUN_WNV2324_2021	Orthoflavivirus nilense	Hungary	Europe	2021	2022-08-01	Aug-2021	OP179287	West Nile virus HUN_WNV2324_2021	Orthoflavivirus nilense	HUN_WNV2324_2021	urine	Hungary	2021	Aug-2021	Hungary	Human	Human	
OP179288_HUN_WNV2947_2021	Orthoflavivirus nilense	Hungary	Europe	2021	2021-08-01	Aug-2021	OP179288	West Nile virus HUN_WNV2947_2021	Orthoflavivirus nilense	HUN_WNV2947_2021	urine	Hungary	2021	Aug-2021	Hungary	Human	Human	
PP212878_3717_2023_WNV_HU	Orthoflavivirus nilense	Hungary	Europe	2023	2023-01-01	2023	PP212878	West Nile virus 3717_2023_WNV_HU	Orthoflavivirus nilense	3717_2023_WNV_HU	urine	Hungary	2023	2023	Hungary: Balkany	Human	Human	
PP212881_4106_2023_WNV_HU	Orthoflavivirus nilense	Hungary	Europe	2023	2023-01-01	2023	PP212881	West Nile virus 4106_2023_WNV_HU	Orthoflavivirus nilense	4106_2023_WNV_HU	urine	Hungary	2023	2023	Hungary: Szeged	Human	Human	
PP212879_3919_2023_WNV_HU	Orthoflavivirus nilense	Hungary	Europe	2023	2023-01-01	2023	PP212879	West Nile virus 3919_2023_WNV_HU	Orthoflavivirus nilense	3919_2023_WNV_HU	urine	Hungary	2023	2023	Hungary: Budapest	Human	Human	
PP212880_4429_2023_WNV_HU	Orthoflavivirus nilense	Hungary	Europe	2023	2023-01-01	2023	PP212880	West Nile virus 4429_2023_WNV_HU	Orthoflavivirus nilense	4429_2023_WNV_HU	urine	Hungary	2023	2023	Hungary: Zakanyszek	Human	Human	
PP212883_5903_2023_WNV_HU	Orthoflavivirus nilense	Hungary	Europe	2023	2023-01-01	2023	PP212883	West Nile virus 5903_2023_WNV_HU	Orthoflavivirus nilense	5903_2023_WNV_HU	urine	Hungary	2023	2023	Hungary: Algyo	Human	Human	
PP212882_5226_2023_WNV_HU	Orthoflavivirus nilense	Hungary	Europe	2023	2023-01-01	2023	PP212882	West Nile virus 5226_2023_WNV_HU	Orthoflavivirus nilense	5226_2023_WNV_HU	urine	Hungary	2023	2023	Hungary: Budapest	Human	Human	
JQ928174_Italy/2011/Livenza	Orthoflavivirus nilense	Italy	Europe	2011	2011-09-01	2011-09	JQ928174	West Nile virus Italy/2011/Livenza	Orthoflavivirus nilense	Italy/2011/Livenza	plasma from blood donor	Italy	2011	2011-09	Italy: Veneto region	 Treviso	Human	Human
JQ928175_Italy/2011/Piave	Orthoflavivirus nilense	Italy	Europe	2011	2011-09-01	2011-09	JQ928175	West Nile virus Italy/2011/Piave	Orthoflavivirus nilense	Italy/2011/Piave	urine from infected transplant recipient	Italy	2011	2011-09	Italy: Veneto region	 Treviso	Human	Human
KT207791_792/14	Orthoflavivirus nilense	Italy	Europe	2014	2014-07-15	2014-07-15	KT207791	West Nile virus 792/14	Orthoflavivirus nilense	792/14		Italy	2014	2014-07-15	Italy	Mosquito	Insect	
KT207792_1270/14	Orthoflavivirus nilense	Italy	Europe	2014	2014-08-18	2014-08-18	KT207792	West Nile virus 1270/14	Orthoflavivirus nilense	1270/14		Italy	2014	2014-08-18	Italy	Mosquito	Insect	
KP789953_Italy/2014/Pavia1	Orthoflavivirus nilense	Italy	Europe	2014	2014-01-01	2014	KP789953	West Nile virus Italy/2014/Pavia1	Orthoflavivirus nilense	Italy/2014/Pavia1		Italy	2014	2014	Italy	Human	Human	
KP789954_Italy/2014/Cremona2	Orthoflavivirus nilense	Italy	Europe	2014	2014-01-01	2014	KP789954	West Nile virus Italy/2014/Cremona2	Orthoflavivirus nilense	Italy/2014/Cremona2		Italy	2014	2014	Italy	Human	Human	
KP789955_Italy/2014/Verona/35.1	Orthoflavivirus nilense	Italy	Europe	2014	2014-01-01	2014	KP789955	West Nile virus Italy/2014/Verona/35.1	Orthoflavivirus nilense	Italy/2014/Verona/35.1	urine	Italy	2014	2014	Italy	Human	Human	
KP789956_Italy/2014/Verona/35.2	Orthoflavivirus nilense	Italy	Europe	2014	2014-01-01	2014	KP789956	West Nile virus Italy/2014/Verona/35.2	Orthoflavivirus nilense	Italy/2014/Verona/35.2	urine	Italy	2014	2014	Italy	Human	Human	
KP789957_Italy/2014/Cremona4	Orthoflavivirus nilense	Italy	Europe	2014	2014-01-01	2014	KP789957	West Nile virus Italy/2014/Cremona4	Orthoflavivirus nilense	Italy/2014/Cremona4		Italy	2014	2014	Italy	Human	Human	
KP789958_Italy/2014/Pavia5	Orthoflavivirus nilense	Italy	Europe	2014	2014-01-01	2014	KP789958	West Nile virus Italy/2014/Pavia5	Orthoflavivirus nilense	Italy/2014/Pavia5		Italy	2014	2014	Italy	Human	Human	
KP789959_Italy/2014/Pavia4	Orthoflavivirus nilense	Italy	Europe	2014	2014-01-01	2014	KP789959	West Nile virus Italy/2014/Pavia4	Orthoflavivirus nilense	Italy/2014/Pavia4		Italy	2014	2014	Italy	Human	Human	
KP789960_Italy/2013/Mantova/36.1	Orthoflavivirus nilense	Italy	Europe	2013	2013-01-01	2013	KP789960	West Nile virus Italy/2013/Mantova/36.1	Orthoflavivirus nilense	Italy/2013/Mantova/36.1	urine	Italy	2013	2013	Italy	Human	Human	
KF823805_Italy/2013/Rovigo/35.2	Orthoflavivirus nilense	Italy	Europe	2013	2013-08-01	2013-08	KF823805	West Nile virus Italy/2013/Rovigo/35.2	Orthoflavivirus nilense	Italy/2013/Rovigo/35.2	urine	Italy	2013	2013-08	Italy: Veneto region	 Rovigo	Human	Human
JX556213_Italy/2012/Livenza/31.1	Orthoflavivirus nilense	Italy	Europe	2012	2012-08-03	2012-08-03	JX556213	West Nile virus Italy/2012/Livenza/31.1	Orthoflavivirus nilense	Italy/2012/Livenza/31.1	cultured viral isolate from blood donor	Italy	2012	2012-08-03	Italy: Veneto region	 Venice province	Human	Human
KF647253_Italy/2013/Livenza/35.1	Orthoflavivirus nilense	Italy	Europe	2013	2013-08-01	2013-08	KF647253	West Nile virus Italy/2013/Livenza/35.1	Orthoflavivirus nilense	Italy/2013/Livenza/35.1	plasma	Italy	2013	2013-08	Italy: Veneto region	 Rovigo	Human	Human
KF647252_Italy/2013/Rovigo/35.1	Orthoflavivirus nilense	Italy	Europe	2013	2013-08-01	2013-08	KF647252	West Nile virus Italy/2013/Rovigo/35.1	Orthoflavivirus nilense	Italy/2013/Rovigo/35.1	urine	Italy	2013	2013-08	Italy: Veneto region	 Rovigo	Human	Human
KF647249_Italy/2013/Rovigo/33.2	Orthoflavivirus nilense	Italy	Europe	2013	2013-08-01	2013-08	KF647249	West Nile virus Italy/2013/Rovigo/33.2	Orthoflavivirus nilense	Italy/2013/Rovigo/33.2	urine	Italy	2013	2013-08	Italy: Veneto region	 Rovigo	Human	Human
KF647248_Italy/2013/Rovigo/34.1	Orthoflavivirus nilense	Italy	Europe	2013	2013-08-01	2013-08	KF647248	West Nile virus Italy/2013/Rovigo/34.1	Orthoflavivirus nilense	Italy/2013/Rovigo/34.1	plasma	Italy	2013	2013-08	Italy: Veneto region	 Rovigo	Human	Human
KF588365_Italy/2013/Rovigo/32.1	Orthoflavivirus nilense	Italy	Europe	2013	2013-08-01	2013-08	KF588365	West Nile virus Italy/2013/Rovigo/32.1	Orthoflavivirus nilense	Italy/2013/Rovigo/32.1	urine	Italy	2013	2013-08	Italy: Veneto region	 Rovigo	Human	Human
FJ483549_15803	Orthoflavivirus nilense	Italy	Europe	2008	2008-01-01	2008	FJ483549	West Nile virus 15803	Orthoflavivirus nilense	15803	magpie	Italy	2008	2008	Italy			
MN939564_Italy/2016/Rovigo/32.1	Orthoflavivirus nilense	Italy	Europe	2016	2016-01-01	2016	MN939564	West Nile virus Italy/2016/Rovigo/32.1	Orthoflavivirus nilense	Italy/2016/Rovigo/32.1		Italy	2016	2016	Italy	Human	Human	
MN939563_Italy/2018/Verona/38.1	Orthoflavivirus nilense	Italy	Europe	2018	2018-01-01	2018	MN939563	West Nile virus Italy/2018/Verona/38.1	Orthoflavivirus nilense	Italy/2018/Verona/38.1		Italy	2018	2018	Italy	Human	Human	
MN939562_Italy/2018/Treviso/35.1	Orthoflavivirus nilense	Italy	Europe	2018	2018-01-01	2018	MN939562	West Nile virus Italy/2018/Treviso/35.1	Orthoflavivirus nilense	Italy/2018/Treviso/35.1		Italy	2018	2018	Italy	Human	Human	
MN939561_Italy/2018/Venice/33.1	Orthoflavivirus nilense	Italy	Europe	2018	2018-01-01	2018	MN939561	West Nile virus Italy/2018/Venice/33.1	Orthoflavivirus nilense	Italy/2018/Venice/33.1		Italy	2018	2018	Italy	Human	Human	
MN939560_Italy/2016/Vicenza/36.1	Orthoflavivirus nilense	Italy	Europe	2016	2016-01-01	2016	MN939560	West Nile virus Italy/2016/Vicenza/36.1	Orthoflavivirus nilense	Italy/2016/Vicenza/36.1		Italy	2016	2016	Italy	Human	Human	
MN939559_Italy/2016/Rovigo/34.1	Orthoflavivirus nilense	Italy	Europe	2016	2016-01-01	2016	MN939559	West Nile virus Italy/2016/Rovigo/34.1	Orthoflavivirus nilense	Italy/2016/Rovigo/34.1		Italy	2016	2016	Italy	Human	Human	
MN939558_Italy/2016/Rovigo/32.2	Orthoflavivirus nilense	Italy	Europe	2016	2016-01-01	2016	MN939558	West Nile virus Italy/2016/Rovigo/32.2	Orthoflavivirus nilense	Italy/2016/Rovigo/32.2		Italy	2016	2016	Italy	Human	Human	
MN939557_Italy/2018/Rovigo/29.1	Orthoflavivirus nilense	Italy	Europe	2018	2018-01-01	2018	MN939557	West Nile virus Italy/2018/Rovigo/29.1	Orthoflavivirus nilense	Italy/2018/Rovigo/29.1		Italy	2018	2018	Italy	Human	Human	
OP009524_Italy/2021/Padova/21RS2511-1	Orthoflavivirus nilense	Italy	Europe	2021	2021-08-16	16-Aug-2021	OP009524	West Nile virus Italy/2021/Padova/21RS2511-1	Orthoflavivirus nilense	Italy/2021/Padova/21RS2511-1		Italy	2021	16-Aug-2021	Italy	Northern House Mosquito	Insect	
OP009523_Italy/2021/Padova/21RS2511-2	Orthoflavivirus nilense	Italy	Europe	2021	2021-08-16	16-Aug-2021	OP009523	West Nile virus Italy/2021/Padova/21RS2511-2	Orthoflavivirus nilense	Italy/2021/Padova/21RS2511-2		Italy	2021	16-Aug-2021	Italy	Northern House Mosquito	Insect	
OP009522_Italy/2021/Padova/21RS2511-3	Orthoflavivirus nilense	Italy	Europe	2021	2021-08-16	16-Aug-2021	OP009522	West Nile virus Italy/2021/Padova/21RS2511-3	Orthoflavivirus nilense	Italy/2021/Padova/21RS2511-3		Italy	2021	16-Aug-2021	Italy	Northern House Mosquito	Insect	
OP009525_Italy/2022/Venezia/22RS1198	Orthoflavivirus nilense	Italy	Europe	2022	2022-06-21	21-Jun-2022	OP009525	West Nile virus Italy/2022/Venezia/22RS1198	Orthoflavivirus nilense	Italy/2022/Venezia/22RS1198		Italy	2022	21-Jun-2022	Italy	Northern House Mosquito	Insect	
OP009520_Italy/2021/Padova/21VIR8435-2	Orthoflavivirus nilense	Italy	Europe	2021	2021-01-01	2021	OP009520	West Nile virus Italy/2021/Padova/21VIR8435-2	Orthoflavivirus nilense	Italy/2021/Padova/21VIR8435-2		Italy	2021	2021	Italy			
OP009521_Italy/2021/Padova/21RS2511-4	Orthoflavivirus nilense	Italy	Europe	2021	2021-08-23	23-Aug-2021	OP009521	West Nile virus Italy/2021/Padova/21RS2511-4	Orthoflavivirus nilense	Italy/2021/Padova/21RS2511-4		Italy	2021	23-Aug-2021	Italy	Northern House Mosquito	Insect	
GU011992_Ita09	Orthoflavivirus nilense	Italy	Europe	2009	2009-01-01	2009	GU011992	West Nile virus Ita09	Orthoflavivirus nilense	Ita09	blood donor	Italy	2009	2009	Italy	Human	Human	
OP609790_Italy/2022/Padova/22RS1342-1	Orthoflavivirus nilense	Italy	Europe	2022	2022-07-04	04-Jul-2022	OP609790	West Nile virus Italy/2022/Padova/22RS1342-1	Orthoflavivirus nilense	Italy/2022/Padova/22RS1342-1		Italy	2022	04-Jul-2022	Italy	Human	Human	
OP609791_Italy/2022/Padova/22RS1738-1	Orthoflavivirus nilense	Italy	Europe	2022	2022-01-01	2022	OP609791	West Nile virus Italy/2022/Padova/22RS1738-1	Orthoflavivirus nilense	Italy/2022/Padova/22RS1738-1		Italy	2022	2022	Italy	Human	Human	
OP609792_Italy/2022/Padova/22RS1738-2	Orthoflavivirus nilense	Italy	Europe	2022	2022-01-01	2022	OP609792	West Nile virus Italy/2022/Padova/22RS1738-2	Orthoflavivirus nilense	Italy/2022/Padova/22RS1738-2		Italy	2022	2022	Italy	Human	Human	
OP609794_Italy/2022/Vicenza/22RS1738-6	Orthoflavivirus nilense	Italy	Europe	2022	2022-01-01	2022	OP609794	West Nile virus Italy/2022/Vicenza/22RS1738-6	Orthoflavivirus nilense	Italy/2022/Vicenza/22RS1738-6		Italy	2022	2022	Italy	Human	Human	
OP609793_Italy/2022/Verona/22RS1738-4	Orthoflavivirus nilense	Italy	Europe	2022	2022-01-01	2022	OP609793	West Nile virus Italy/2022/Verona/22RS1738-4	Orthoflavivirus nilense	Italy/2022/Verona/22RS1738-4		Italy	2022	2022	Italy	Human	Human	
OP609795_Italy/2022/Padova/22RS1738-7	Orthoflavivirus nilense	Italy	Europe	2022	2022-01-01	2022	OP609795	West Nile virus Italy/2022/Padova/22RS1738-7	Orthoflavivirus nilense	Italy/2022/Padova/22RS1738-7		Italy	2022	2022	Italy	Human	Human	
OP609796_Italy/2022/Rovigo/22RS1738-8	Orthoflavivirus nilense	Italy	Europe	2022	2022-01-01	2022	OP609796	West Nile virus Italy/2022/Rovigo/22RS1738-8	Orthoflavivirus nilense	Italy/2022/Rovigo/22RS1738-8		Italy	2022	2022	Italy	Human	Human	
OP609797_Italy/2022/Rovigo/22RS1738-11	Orthoflavivirus nilense	Italy	Europe	2022	2022-01-01	2022	OP609797	West Nile virus Italy/2022/Rovigo/22RS1738-11	Orthoflavivirus nilense	Italy/2022/Rovigo/22RS1738-11		Italy	2022	2022	Italy	Human	Human	
OP609799_Italy/2022/Rovigo/22VIR7355	Orthoflavivirus nilense	Italy	Europe	2022	2022-07-01	01-Jul-2022	OP609799	West Nile virus Italy/2022/Rovigo/22VIR7355	Orthoflavivirus nilense	Italy/2022/Rovigo/22VIR7355		Italy	2022	01-Jul-2022	Italy	Gull	Avian	
OP609798_Italy/2022/Padova/22RS1738-23	Orthoflavivirus nilense	Italy	Europe	2022	2022-01-01	2022	OP609798	West Nile virus Italy/2022/Padova/22RS1738-23	Orthoflavivirus nilense	Italy/2022/Padova/22RS1738-23		Italy	2022	2022	Italy	Human	Human	
OP609800_Italy/2022/Rovigo/22VIR7340	Orthoflavivirus nilense	Italy	Europe	2022	2022-07-04	04-Jul-2022	OP609800	West Nile virus Italy/2022/Rovigo/22VIR7340	Orthoflavivirus nilense	Italy/2022/Rovigo/22VIR7340		Italy	2022	04-Jul-2022	Italy	Sparrow	Avian	
OP609802_Italy/2022/Rovigo/22VIR7419	Orthoflavivirus nilense	Italy	Europe	2022	2022-07-12	12-Jul-2022	OP609802	West Nile virus Italy/2022/Rovigo/22VIR7419	Orthoflavivirus nilense	Italy/2022/Rovigo/22VIR7419		Italy	2022	12-Jul-2022	Italy	Owl	Avian	
OP609801_Italy/2022/Padova/22VIR7373	Orthoflavivirus nilense	Italy	Europe	2022	2022-07-08	08-Jul-2022	OP609801	West Nile virus Italy/2022/Padova/22VIR7373	Orthoflavivirus nilense	Italy/2022/Padova/22VIR7373		Italy	2022	08-Jul-2022	Italy	Blackbird	Avian	
OP609803_Italy/2022/Padova/22VIR7398	Orthoflavivirus nilense	Italy	Europe	2022	2022-07-14	14-Jul-2022	OP609803	West Nile virus Italy/2022/Padova/22VIR7398	Orthoflavivirus nilense	Italy/2022/Padova/22VIR7398		Italy	2022	14-Jul-2022	Italy			
OP609805_Italy/2022/Padova/22VIR7600	Orthoflavivirus nilense	Italy	Europe	2022	2022-07-20	20-Jul-2022	OP609805	West Nile virus Italy/2022/Padova/22VIR7600	Orthoflavivirus nilense	Italy/2022/Padova/22VIR7600		Italy	2022	20-Jul-2022	Italy			
OP609804_Italy/2022/Rovigo/22VIR7399	Orthoflavivirus nilense	Italy	Europe	2022	2022-07-20	20-Jul-2022	OP609804	West Nile virus Italy/2022/Rovigo/22VIR7399	Orthoflavivirus nilense	Italy/2022/Rovigo/22VIR7399		Italy	2022	20-Jul-2022	Italy			
OP609806_Italy/2022/Padova/22VIR7609	Orthoflavivirus nilense	Italy	Europe	2022	2022-07-29	29-Jul-2022	OP609806	West Nile virus Italy/2022/Padova/22VIR7609	Orthoflavivirus nilense	Italy/2022/Padova/22VIR7609		Italy	2022	29-Jul-2022	Italy	Little Egret	Avian	
OP609807_Italy/2022/Vicenza/22VIR7688	Orthoflavivirus nilense	Italy	Europe	2022	2022-07-29	29-Jul-2022	OP609807	West Nile virus Italy/2022/Vicenza/22VIR7688	Orthoflavivirus nilense	Italy/2022/Vicenza/22VIR7688		Italy	2022	29-Jul-2022	Italy			
OP609809_Italy/2022/Padova/22VIR7607	Orthoflavivirus nilense	Italy	Europe	2022	2022-08-03	03-Aug-2022	OP609809	West Nile virus Italy/2022/Padova/22VIR7607	Orthoflavivirus nilense	Italy/2022/Padova/22VIR7607		Italy	2022	03-Aug-2022	Italy			
OP609808_Italy/2022/Rovigo/22VIR6574	Orthoflavivirus nilense	Italy	Europe	2022	2022-07-29	29-Jul-2022	OP609808	West Nile virus Italy/2022/Rovigo/22VIR6574	Orthoflavivirus nilense	Italy/2022/Rovigo/22VIR6574		Italy	2022	29-Jul-2022	Italy			
OP609811_Italy/2022/Padova/22VIR7505-9	Orthoflavivirus nilense	Italy	Europe	2022	2022-08-04	04-Aug-2022	OP609811	West Nile virus Italy/2022/Padova/22VIR7505-9	Orthoflavivirus nilense	Italy/2022/Padova/22VIR7505-9		Italy	2022	04-Aug-2022	Italy	Horse	Nonhuman Mammal	
OP609812_Italy/2022/Vicenza/22VIR7679	Orthoflavivirus nilense	Italy	Europe	2022	2022-08-07	07-Aug-2022	OP609812	West Nile virus Italy/2022/Vicenza/22VIR7679	Orthoflavivirus nilense	Italy/2022/Vicenza/22VIR7679		Italy	2022	07-Aug-2022	Italy			
OP609810_Italy/2022/Rovigo/22RS1560	Orthoflavivirus nilense	Italy	Europe	2022	2022-08-04	04-Aug-2022	OP609810	West Nile virus Italy/2022/Rovigo/22RS1560	Orthoflavivirus nilense	Italy/2022/Rovigo/22RS1560		Italy	2022	04-Aug-2022	Italy	Northern House Mosquito	Insect	
OP609813_Italy/2022/Padova/22RS1599	Orthoflavivirus nilense	Italy	Europe	2022	2022-08-09	09-Aug-2022	OP609813	West Nile virus Italy/2022/Padova/22RS1599	Orthoflavivirus nilense	Italy/2022/Padova/22RS1599		Italy	2022	09-Aug-2022	Italy	Northern House Mosquito	Insect	
OP609815_Italy/2022/Padova/22VIR8273-3	Orthoflavivirus nilense	Italy	Europe	2022	2022-08-17	17-Aug-2022	OP609815	West Nile virus Italy/2022/Padova/22VIR8273-3	Orthoflavivirus nilense	Italy/2022/Padova/22VIR8273-3		Italy	2022	17-Aug-2022	Italy			
OP609814_Italy/2022/Rovigo/22RS1702	Orthoflavivirus nilense	Italy	Europe	2022	2022-08-11	11-Aug-2022	OP609814	West Nile virus Italy/2022/Rovigo/22RS1702	Orthoflavivirus nilense	Italy/2022/Rovigo/22RS1702		Italy	2022	11-Aug-2022	Italy	Northern House Mosquito	Insect	
